season_year,defense_team_id,hc6_risk,hc6_rim_possessions,hc6_rim_attempts,hc6_rim_makes,oreb_possessions,second_chance_rim_possessions,second_chance_rim_attempts,second_chance_rim_makes,explicit_putback_possessions,unknown_shooting_fouls_hc6,high_confidence_rim_fouls,first_chance_rim_frequency_hc6,first_chance_rim_fg_pct,second_chance_rim_per_oreb_possession,second_chance_rim_fg_pct,explicit_putback_per_oreb_possession,unknown_shooting_foul_frequency_hc6,high_confidence_rim_foul_per_rim_attempt
2022,1610612741,7126,1465,1465.0,973.0,1099,379,412.0,246.0,263,485,149,0.20558518102722426,0.6641638225255972,0.3448589626933576,0.5970873786407767,0.23930846223839855,0.06806062307044625,0.10170648464163823
2022,1610612742,6941,1332,1332.0,888.0,1139,406,443.0,292.0,291,513,153,0.1919031839792537,0.6666666666666666,0.35645302897278314,0.6591422121896162,0.25548726953467954,0.07390865869471258,0.11486486486486487
2022,1610612743,7019,1356,1356.0,949.0,1121,379,418.0,272.0,269,478,149,0.19318991309303318,0.6998525073746312,0.33809099018733274,0.6507177033492823,0.23996431757359502,0.06810086906966804,0.10988200589970501
2022,1610612744,7246,955,955.0,648.0,1244,363,396.0,244.0,279,561,93,0.1317968534363787,0.6785340314136126,0.29180064308681675,0.6161616161616161,0.22427652733118972,0.07742202594534915,0.09738219895287958
2022,1610612745,6929,1160,1160.0,796.0,1094,385,410.0,263.0,285,520,135,0.16741232501082406,0.6862068965517242,0.35191956124314444,0.6414634146341464,0.26051188299817185,0.075046904315197,0.11637931034482758
2022,1610612746,6947,1236,1236.0,805.0,1113,392,433.0,276.0,290,493,141,0.17791852598243846,0.651294498381877,0.3522012578616352,0.6374133949191686,0.2605570530098832,0.07096588455448395,0.11407766990291263
2022,1610612747,7125,1305,1305.0,838.0,1187,432,473.0,317.0,335,441,146,0.1831578947368421,0.6421455938697318,0.36394271272114576,0.6701902748414377,0.2822240943555181,0.061894736842105266,0.11187739463601533
2022,1610612748,6758,1097,1097.0,749.0,1034,319,338.0,240.0,221,449,134,0.16232613199171353,0.682771194165907,0.30851063829787234,0.7100591715976331,0.2137330754352031,0.06643977508138503,0.12215132178669097
2022,1610612749,7122,1119,1119.0,713.0,1107,424,455.0,291.0,301,424,129,0.15711878685762426,0.6371760500446828,0.3830171635049684,0.6395604395604395,0.2719060523938573,0.059533838809323225,0.11528150134048257
2022,1610612750,7150,1398,1399.0,908.0,1254,426,475.0,282.0,298,543,170,0.19552447552447552,0.6490350250178699,0.3397129186602871,0.5936842105263158,0.23763955342902712,0.07594405594405594,0.12151536812008577
2022,1610612751,6920,1388,1388.0,888.0,1294,475,520.0,305.0,338,495,175,0.20057803468208094,0.6397694524495677,0.3670788253477589,0.5865384615384616,0.26120556414219476,0.07153179190751445,0.1260806916426513
2022,1610612752,6914,1347,1347.0,828.0,1143,378,410.0,248.0,239,497,160,0.19482210008678044,0.6146993318485523,0.33070866141732286,0.6048780487804878,0.20909886264216973,0.07188313566676309,0.11878247958426132
2022,1610612753,6921,1201,1201.0,829.0,1069,361,393.0,257.0,229,444,155,0.1735298367287964,0.6902581182348043,0.3376987839101964,0.6539440203562341,0.21421889616463985,0.06415257910706545,0.12905911740216486
2022,1610612754,7129,1511,1511.0,935.0,1264,506,549.0,345.0,342,536,128,0.21195118529948098,0.6187954996690933,0.40031645569620256,0.6284153005464481,0.27056962025316456,0.07518586056950484,0.08471211118464593
2022,1610612755,6831,1265,1265.0,846.0,1131,366,395.0,258.0,251,523,142,0.18518518518518517,0.6687747035573123,0.32360742705570295,0.6531645569620254,0.22192749778956675,0.07656272873664179,0.11225296442687747
2022,1610612756,6888,1221,1221.0,789.0,1192,387,421.0,269.0,292,541,147,0.17726480836236932,0.6461916461916462,0.32466442953020136,0.6389548693586699,0.24496644295302014,0.0785423925667828,0.12039312039312039
2022,1610612757,6940,1643,1643.0,1069.0,1143,429,500.0,301.0,311,495,149,0.23674351585014408,0.6506390748630554,0.3753280839895013,0.602,0.27209098862642167,0.07132564841498559,0.09068776628119293
2022,1610612758,7209,1401,1401.0,955.0,1071,388,422.0,277.0,274,528,133,0.19434040782355388,0.681655960028551,0.3622782446311858,0.6563981042654028,0.25583566760037346,0.07324178110694965,0.09493219129193434
2022,1610612759,7144,1532,1532.0,1025.0,1168,440,473.0,295.0,299,539,159,0.21444568868980962,0.6690600522193212,0.3767123287671233,0.6236786469344608,0.2559931506849315,0.07544792833146696,0.10378590078328982
2022,1610612760,7249,1303,1303.0,852.0,1261,453,513.0,324.0,342,535,157,0.1797489308870189,0.6538756715272448,0.359238699444885,0.631578947368421,0.2712133227597145,0.07380328321147744,0.1204911742133538
2022,1610612761,6901,1354,1354.0,916.0,1044,335,374.0,216.0,224,483,133,0.19620344877553977,0.6765140324963073,0.32088122605363983,0.5775401069518716,0.21455938697318008,0.06998985654253007,0.0982274741506647
2022,1610612762,7036,1246,1246.0,802.0,1230,414,466.0,283.0,318,512,135,0.1770892552586697,0.6436597110754414,0.33658536585365856,0.6072961373390557,0.25853658536585367,0.07276861853325753,0.10834670947030497
2022,1610612763,7132,1424,1424.0,837.0,1211,412,440.0,275.0,274,495,150,0.19966348850252383,0.5877808988764045,0.34021469859620146,0.625,0.22625928984310487,0.06940549635445878,0.10533707865168539
2022,1610612764,6899,1235,1235.0,815.0,1125,382,407.0,268.0,277,487,162,0.1790114509349181,0.659919028340081,0.33955555555555555,0.6584766584766585,0.24622222222222223,0.07058994057109726,0.1311740890688259
2022,1610612765,6934,1352,1352.0,908.0,1217,426,472.0,305.0,287,525,153,0.19498125180271128,0.6715976331360947,0.35004108463434674,0.6461864406779662,0.23582580115036977,0.07571387366599365,0.11316568047337278
2022,1610612766,7182,1548,1548.0,972.0,1163,438,483.0,289.0,292,494,163,0.21553884711779447,0.627906976744186,0.3766122098022356,0.598343685300207,0.2510748065348237,0.06878306878306878,0.10529715762273902
2023,1610612737,7039,1515,1515.0,988.0,1118,433,464.0,284.0,309,456,166,0.21522943599943173,0.6521452145214521,0.387298747763864,0.6120689655172413,0.276386404293381,0.06478192925131411,0.10957095709570958
2023,1610612738,7093,1229,1229.0,761.0,1140,407,444.0,286.0,301,409,103,0.17326942055547723,0.6192026037428804,0.3570175438596491,0.6441441441441441,0.26403508771929823,0.05766248413929226,0.0838079739625712
2023,1610612739,6894,1390,1390.0,848.0,1132,365,400.0,233.0,287,433,124,0.2016246011024079,0.6100719424460431,0.3224381625441696,0.5825,0.25353356890459366,0.06280823904844793,0.08920863309352518
2023,1610612740,6927,1298,1298.0,890.0,1116,356,393.0,241.0,255,450,111,0.1873827053558539,0.6856702619414484,0.31899641577060933,0.6132315521628499,0.22849462365591397,0.06496318752706799,0.08551617873651772
2023,1610612741,6965,1394,1394.0,896.0,1129,371,413.0,261.0,262,438,148,0.20014357501794688,0.642754662840746,0.32860938883968116,0.6319612590799032,0.2320637732506643,0.06288585786073224,0.10616929698708752
2023,1610612742,7068,1214,1214.0,809.0,1182,419,461.0,291.0,301,464,140,0.17176004527447652,0.6663920922570017,0.3544839255499154,0.631236442516269,0.2546531302876481,0.06564799094510469,0.11532125205930807
2023,1610612743,6881,1420,1420.0,905.0,1133,410,464.0,269.0,273,475,143,0.20636535387298358,0.6373239436619719,0.36187113857016767,0.5797413793103449,0.2409532215357458,0.06903066414765295,0.10070422535211268
2023,1610612744,7028,984,984.0,648.0,1161,347,377.0,237.0,265,521,101,0.1400113830392715,0.6585365853658537,0.2988802756244617,0.6286472148541115,0.22825150732127478,0.07413204325554923,0.10264227642276423
2023,1610612745,7203,1256,1256.0,834.0,1202,369,401.0,239.0,276,561,120,0.1743717895321394,0.6640127388535032,0.3069883527454243,0.5960099750623441,0.22961730449251247,0.07788421491045398,0.09554140127388536
2023,1610612746,6852,1195,1195.0,796.0,1193,420,466.0,284.0,321,450,129,0.17440163455925278,0.6661087866108787,0.3520536462699078,0.6094420600858369,0.26906957250628666,0.06567425569176882,0.10794979079497909
