player_id,exposed_to_salvage,canonical_weighted_possessions,canonical_rapm,deterministic_change,all_aggregate_change,mi_mean_change,mi_minus_all_aggregate,mi_between_sd,mi_min_change,mi_max_change
77,False,0.0,-1.2628786905111156e-15,3.2051745217226424e-06,-1.2265369086467137e-05,3.2493925340965067e-06,1.5514761620563645e-05,7.658113261381965e-08,3.05466908696872e-06,3.407902579813382e-06
78,False,0.0,-1.2628786905111156e-15,3.2051745217226424e-06,-1.2265369086467137e-05,3.2493925340965067e-06,1.5514761620563645e-05,7.658113261381965e-08,3.05466908696872e-06,3.407902579813382e-06
80,False,0.0,-1.2628786905111156e-15,3.2051745217226424e-06,-1.2265369086467137e-05,3.2493925340965067e-06,1.5514761620563645e-05,7.658113261381965e-08,3.05466908696872e-06,3.407902579813382e-06
81,False,0.0,-1.2628786905111156e-15,3.2051745217226424e-06,-1.2265369086467137e-05,3.2493925340965067e-06,1.5514761620563645e-05,7.658113261381965e-08,3.05466908696872e-06,3.407902579813382e-06
82,False,0.0,-1.2628786905111156e-15,3.2051745217226424e-06,-1.2265369086467137e-05,3.2493925340965067e-06,1.5514761620563645e-05,7.658113261381965e-08,3.05466908696872e-06,3.407902579813382e-06
84,False,0.0,-1.2628786905111156e-15,3.2051745217226424e-06,-1.2265369086467137e-05,3.2493925340965067e-06,1.5514761620563645e-05,7.658113261381965e-08,3.05466908696872e-06,3.407902579813382e-06
85,False,0.0,-1.2628786905111156e-15,3.2051745217226424e-06,-1.2265369086467137e-05,3.2493925340965067e-06,1.5514761620563645e-05,7.658113261381965e-08,3.05466908696872e-06,3.407902579813382e-06
87,False,0.0,-1.2628786905111156e-15,3.2051745217226424e-06,-1.2265369086467137e-05,3.2493925340965067e-06,1.5514761620563645e-05,7.658113261381965e-08,3.05466908696872e-06,3.407902579813382e-06
88,False,0.0,-1.2628786905111156e-15,3.2051745217226424e-06,-1.2265369086467137e-05,3.2493925340965067e-06,1.5514761620563645e-05,7.658113261381965e-08,3.05466908696872e-06,3.407902579813382e-06
89,False,0.0,-1.2628786905111156e-15,3.2051745217226424e-06,-1.2265369086467137e-05,3.2493925340965067e-06,1.5514761620563645e-05,7.658113261381965e-08,3.05466908696872e-06,3.407902579813382e-06
93,False,0.0,-1.2628786905111156e-15,3.2051745217226424e-06,-1.2265369086467137e-05,3.2493925340965067e-06,1.5514761620563645e-05,7.658113261381965e-08,3.05466908696872e-06,3.407902579813382e-06
95,False,0.0,-1.2628786905111156e-15,3.2051745217226424e-06,-1.2265369086467137e-05,3.2493925340965067e-06,1.5514761620563645e-05,7.658113261381965e-08,3.05466908696872e-06,3.407902579813382e-06
96,False,0.0,-1.2628786905111156e-15,3.2051745217226424e-06,-1.2265369086467137e-05,3.2493925340965067e-06,1.5514761620563645e-05,7.658113261381965e-08,3.05466908696872e-06,3.407902579813382e-06
98,False,0.0,-1.2628786905111156e-15,3.2051745217226424e-06,-1.2265369086467137e-05,3.2493925340965067e-06,1.5514761620563645e-05,7.658113261381965e-08,3.05466908696872e-06,3.407902579813382e-06
100,False,0.0,-1.2628786905111156e-15,3.2051745217226424e-06,-1.2265369086467137e-05,3.2493925340965067e-06,1.5514761620563645e-05,7.658113261381965e-08,3.05466908696872e-06,3.407902579813382e-06
