gid,source,sig,stints,seconds
20700673,stints_full_2007.parquet,7b33c6ce20522e1dc33add5987a31075488368bb,30,2880.0
20700697,stints_full_2007.parquet,db268c9138828fba5b6764d6fa689d3d0483458b,36,2880.0
20700754,stints_full_2007.parquet,f806998f76336851aa41c9d377c9be65a2ea57d2,32,2880.0
20700847,stints_full_2007.parquet,ad28122f9b2b8dff5a3c6a7095d1cbec048a94b1,36,2880.0
20700849,stints_full_2007.parquet,839c3e8fd99f3055f61a12446c0d415840b95b95,32,2880.0
20700966,stints_full_2007.parquet,d29e5491a9560f1da7fcdc5443f57f3511571f2f,25,2880.0
20701055,stints_full_2007.parquet,b49eb21a77fec4044603bd01a736ee4e702dc6b6,32,2880.0
20701089,stints_full_2007.parquet,4cdc656479b86299c0f8c0cdb50af75634c64400,26,2880.0
20701168,stints_full_2007.parquet,8046cf5597bf346d7410663688acc744e6662893,39,2880.0
20701196,stints_full_2007.parquet,b3705c1e0c7014e735493f56e01b50cf374b9687,23,2880.0
20800069,stints_full_2008.parquet,fbac1c30367466d0ad04f0d610ea519594ae9ecf,36,2880.0
20800356,stints_full_2008.parquet,4e3c748fef21c254f51685963b39ba8d00ac9ec7,22,2880.0
20800682,stints_full_2008.parquet,52db9b540f532f6e2887c11959d87c783ba10623,29,2880.0
20800884,stints_full_2008.parquet,dbc067efb70dd1ab43e641effb3a198660488b08,32,2880.0
20801185,stints_full_2008.parquet,affa98a3749f9a8e073082c93fbaaffc1ae9f949,33,2880.0
20900033,stints_full_2009.parquet,892c39c4acd265c6e86775a12e337c8f42780b29,31,2880.0
20900051,stints_full_2009.parquet,59f624cc11d60830a37bfd3809ddd6a5296a1ed1,37,2880.0
20900065,stints_full_2009.parquet,a3ba2c6788014100c50ed96f93b844bd2e1b36d2,21,2880.0
20900426,stints_full_2009.parquet,3a4ac54433ea986ca80dbfcc263ac620deddc9e4,31,2880.0
20900459,stints_full_2009.parquet,f5ad3ceb982005a80d44f00c47c88e01bee9beb8,27,2880.0
20900477,stints_full_2009.parquet,144126f53b73bf58611e9d8c22b5d5de9be12974,34,2880.0
20901196,stints_full_2009.parquet,9ad7115f1b24377fdae8f87c5510923ec4e46127,26,2880.0
21000319,stints_full_2010.parquet,51f2043535dabc012f418349b387f8987f1682ee,33,2880.0
21000357,stints_full_2010.parquet,8fcc337d3b651a2f43e907d85a9c9e2953319c7f,31,2880.0
21000399,stints_full_2010.parquet,c03d4dc2d8c2014a24bdd3e7d3faf65f5984720b,29,2880.0
21000475,stints_full_2010.parquet,73abd609cc893ee2f5b1a4c77251f7da481a0c72,26,2880.0
21000489,stints_full_2010.parquet,a305752298f818072c006e3da365f21fe75fd19b,30,2880.0
21000639,stints_full_2010.parquet,8430abd4c71eeb5361d9c968d8f4eaf20e1d6285,26,2880.0
21000858,stints_full_2010.parquet,443bfc5f6fa9702c2b10b0228734e43a339d52dc,30,3180.0
21000916,stints_full_2010.parquet,dc5b2a94ebc9dc2a26b30b472801ed19f47eac7b,25,2880.0
21000929,stints_full_2010.parquet,fd8f2cace104a08e505b563a9c55f41c10b07f35,32,2880.0
21000935,stints_full_2010.parquet,e6dc4cc336671381b0a8f0fe85f39f624682bec9,41,3180.0
21001013,stints_full_2010.parquet,25ed074edb48a30556178f4a93297abad18b9c8e,34,2880.0
21001110,stints_full_2010.parquet,ab61ebd0486048fda1608075e21f13dde64f93e0,29,2880.0
21001116,stints_full_2010.parquet,630808dbb12dd7887b95ef11cce7b9f41fada4bc,32,2880.0
21001124,stints_full_2010.parquet,528fd9dae2d7202e8fb14a82cb1269f5c22264b3,33,2880.0
21100104,stints_full_2011.parquet,1bf46e84e6be5e1a17724687ac37cd01f6834ec7,34,2880.0
21100230,stints_full_2011.parquet,6cef4e650916ca021ad8af024ca9fcf77468179e,33,2880.0
21100459,stints_full_2011.parquet,6a55c1ac53d5a83daf21633076cff8083e37c1ba,27,2880.0
21100545,stints_full_2011.parquet,032bacb29530161146aa1fe919aade39243c0049,27,2880.0
21200046,stints_full_2012.parquet,ee8fef932ace7a51c81b02de7c4f19240112dc27,30,2880.0
21200385,stints_full_2012.parquet,59930feb66d589a3c126db869ec25de724fb352a,25,2880.0
21200449,stints_full_2012.parquet,6c0c271953be69cd833345a4470ec14f20d26a13,26,2880.0
21200849,stints_full_2012.parquet,7d6ea0148d4e31e97228c55a30d779cdfc3d76fc,35,3180.0
21200957,stints_full_2012.parquet,383910f4af993b56c6e03ebb7678d3e43a2789c4,23,2880.0
21201046,stints_full_2012.parquet,f30470644fc07f15da796beccdbc47a0646474cd,30,2880.0
21300061,stints_full_2013.parquet,461ebe60b94cac0ae9c27e2aded96ecc11eb51b9,29,2880.0
21300347,stints_full_2013.parquet,770465861e838726147173a7d2598746e7f282ef,24,2880.0
21300405,stints_full_2013.parquet,9d8d4602e3aaaea78b5b61a7deb3372517af007c,34,2880.0
21300419,stints_full_2013.parquet,7180ed57fa75172e33001f6aa7c0991ebf17d0a5,27,2880.0
21300438,stints_full_2013.parquet,e1243183e1207900b731869326398b0087e4499c,32,2880.0
21300498,stints_full_2013.parquet,01841ea6bee2193bdfa5d0c52700230896b1c230,30,2880.0
21300574,stints_full_2013.parquet,8d2c3f5d6fa82b1944f26b0f91f3ff21fdc22882,23,2880.0
21301208,stints_full_2013.parquet,ab1659d1bda7fadf7df0a55344d27431a223840a,22,2880.0
21400260,stints_full_2014.parquet,19d7a35da6c697c7cb743985ea95fe9b9db772f4,26,2880.0
21400391,stints_full_2014.parquet,cf9072c4e20de7b1282dfa38d35ef7e000d2fac3,34,2880.0
21400633,stints_full_2014.parquet,e5cf2aad32a0838ac7b1ad685b4cd9f4e296ac12,40,3180.0
21400864,stints_full_2014.parquet,4f5cfcbbe5a96cf51fb6802520dca14f18b6db7b,30,2880.0
21401027,stints_full_2014.parquet,adb17ca66b7b0f52e040c8894cce49607c389ad9,38,2880.0
21401048,stints_full_2014.parquet,a248a2f636b3d9d5730d15d9cc38c41a80667751,32,2880.0
21401098,stints_full_2014.parquet,8addb89c400f78770b61a074e04fdb92e15aebe2,29,2880.0
21401102,stints_full_2014.parquet,c12758a582ceed34c92a3b85b25bc4b8db7b0485,30,3180.0
21401162,stints_full_2014.parquet,e429c1bdf2cb24e6349017cf4e501513f082cf56,29,2880.0
21401220,stints_full_2014.parquet,9d3f932c41f14df1d886e86d10441c9acfbabb75,29,2880.0
21500021,stints_full_2015.parquet,fcc8e22fb68991995ebbdc1687f71e6ae06c016a,29,2880.0
21500117,stints_full_2015.parquet,5b9a5b54d8867c4e20f83e45e0a3e99af9fe4695,33,2880.0
21500141,stints_full_2015.parquet,419bdf3de26c03ac76c50d83ecd70312f65ff1f1,37,3480.0
21500256,stints_full_2015.parquet,7bb268349a988c05a5ddfac39f5c6504915a52d5,36,2880.0
21500297,stints_full_2015.parquet,287d313e821229a809365ee90f2d860fcd8bded5,48,3180.0
21500336,stints_full_2015.parquet,3fb77ebaec666966af73a91ce8ca382a865b5e57,49,3480.0
21500473,stints_full_2015.parquet,bac0aef13134d478bdd404a2d96eee5e165a4b18,26,2880.0
21500543,stints_full_2015.parquet,eb07a72c57df7935fb29e9699f0538da44f9ba88,30,2880.0
21500572,stints_full_2015.parquet,1c818705956c24625337c41bd244e39359d6719a,29,2880.0
21500699,stints_full_2015.parquet,806198e698acdc3a2252ea3b69293d086f439a25,31,2880.0
21500786,stints_full_2015.parquet,d069ff88a39ec6a58384645f3917f1e33f65dcbe,32,2880.0
21500916,stints_full_2015.parquet,06812b5c0b68c4209ddb7293544182d05467052f,37,3180.0
21501203,stints_full_2015.parquet,5fe072069af6002522fbb572791516a43c794682,30,2880.0
21600068,stints_full_2016.parquet,4a9ec4562fa864286e927c57845b16467515529e,32,2880.0
21600081,stints_full_2016.parquet,5a5eed212b94fb97b9c29b5cd340516b63ee1972,35,2880.0
21600160,stints_full_2016.parquet,00a966bd7d4c325335c641abad5645c78eb8ed09,28,2880.0
21600303,stints_full_2016.parquet,042978354f2e951941b849b18941d5722a22953e,36,2880.0
21600308,stints_full_2016.parquet,2c3138f48a8dbef1db3f7f56a82e5579900efe20,33,2880.0
21600368,stints_full_2016.parquet,0980ca3ce2b442f9496c27f6a8b9aa8f37f3697b,30,2880.0
21600505,stints_full_2016.parquet,bfad1286d1e31d3c1fbc53fd519a31bd41c0e719,24,2880.0
21600599,stints_full_2016.parquet,573152665eb80889e3b8791ac729c56d25d2ee8d,21,2880.0
21600796,stints_full_2016.parquet,116fd610318d440d6cc7a2750ad2c166368f5117,30,2880.0
21600896,stints_full_2016.parquet,1207f726bcead6c618c144ca22ddff1795787052,26,2880.0
21600973,stints_full_2016.parquet,71f4c0b2372c893f31420c28c070af6d9a3ffcc2,29,2880.0
21600977,stints_full_2016.parquet,82697d7c8c6fa3fb2bad752b180e8feb65e117dc,30,2880.0
21601128,stints_full_2016.parquet,770e96d9e396f65dffaccfb3b4749b90686cf489,32,2880.0
21601156,stints_full_2016.parquet,c913f4c4845fda5e2677050b87938bccca9cbc81,27,2880.0
21601179,stints_full_2016.parquet,feb45093b08c3c6c5dd6eaef13e13e348cc8ac7c,31,2880.0
21700202,stints_full_2017.parquet,bfb2ad3affe1ae924b7e49c792c106276192f800,31,2880.0
21700251,stints_full_2017.parquet,3ecdb6327aef9e29ad0717e824cdd2edb405f29a,31,2880.0
21700334,stints_full_2017.parquet,b4d035cc49d9826ea43fd72ae764c1c4ae26460b,35,2880.0
21700338,stints_full_2017.parquet,cca054783cc798ceb58f593b5c720a58b183faec,31,2880.0
21700653,stints_full_2017.parquet,8258ec0d15a9f845c783fe5490e6600cfb347f87,24,2880.0
21700837,stints_full_2017.parquet,4e29258c7cfecbec0e044707a1c040ff536958a5,30,2880.0
21700918,stints_full_2017.parquet,6fbcba2f35ca0e56e455bfeff7eed59e78506289,37,2880.0
21701002,stints_full_2017.parquet,93703c7f960943a51579dada26fad3831869520b,34,2880.0
21701026,stints_full_2017.parquet,1444310e4d63a14cb2e670832a80cb78fb47ddce,27,2880.0
21701180,stints_full_2017.parquet,731ed9d9d9004d1a20154e5a911ef0196b2bdd3c,30,2880.0
21701207,stints_full_2017.parquet,a15cba56b149c25087a036a8fc293c6e8abb8968,27,2880.0
21800780,stints_full_2018.parquet,c4fbb35f19f983ad17623dad3a0ec8355fa01ff8,28,2880.0
21800836,stints_full_2018.parquet,bcf5895288fda158a4f68bce2511b2ad411e7243,30,2880.0
21800921,stints_full_2018.parquet,073ba41d1d92bab3393a57f4fa614aabd04744d1,32,2880.0
21801061,stints_full_2018.parquet,e8270ee4b52dd347ca28d211e751e67fe346be06,35,2880.0
21900009,stints_full_2019.parquet,12ca835427b5393ec8c2330e9039c0e496ae1b78,38,2880.0
21900040,stints_full_2019.parquet,b30c870a6a763a5b61f6a909cc50e2731bfbe2f0,33,2880.0
21900237,stints_full_2019.parquet,149165d1a41be3d3e11b3b49600bc89146cde37c,22,2880.0
21900339,stints_full_2019.parquet,c21c8734adc0394f0696f06f207fe0ede3b7f52f,38,2880.0
21900480,stints_full_2019.parquet,814333fa0898b99b7939e090ef3d3e563c4865d5,36,2880.0
21900503,stints_full_2019.parquet,21f086c1051dda7da6fe281e7b0ef49953e64112,37,2880.0
21900530,stints_full_2019.parquet,68e75b088f6c0c939147a3c3ccf00ad8fa302d9e,37,3180.0
21900879,stints_full_2019.parquet,fcec0dc84244214445694064ba5f8596ac018ac2,20,2880.0
21900881,stints_full_2019.parquet,b9d224fd7b2924ce6161bebb4ad6478976ebd6fa,8,2880.0
22000072,stints_full_2020.parquet,6bf5a5003321a24b652306c82435315293494655,30,2880.0
22000098,stints_full_2020.parquet,b57782525b3043996eeee3a1f4e6a916ca6fbe99,35,2880.0
22000232,stints_full_2020.parquet,da4cbe638cdbdb0c666de46bbf82e69dc6f4eb8f,33,2880.0
22000299,stints_full_2020.parquet,87a3a2bf5682c5c7fb62973cda8df56624498ac5,37,2880.0
22000478,stints_full_2020.parquet,7f442f402204c1b2b2d2cf9bdcd66879f20adb92,33,2880.0
22000496,stints_full_2020.parquet,3343062a8070153d21f6a6ef9e372d7272a962db,36,2880.0
22100058,stints_full_2021.parquet,24653bc365a3e2050cf960be1cd6c67632d74ad5,30,2880.0
22100072,stints_full_2021.parquet,f8fe3a927cd663be6cdb496eb2bf78703b24095c,34,2880.0
22100074,stints_full_2021.parquet,6e20b7aa2e43e7dd7252de189de312cc3921593a,31,2880.0
22100266,stints_full_2021.parquet,8bcc88eaf9fc0409df8a0bdb94fa54be5804c16b,41,3180.0
22100475,stints_full_2021.parquet,3d3e5ede0ef38fa3dd7c9fd239ba387aebb97950,25,2880.0
22100488,stints_full_2021.parquet,04d994e6a64100e748d77ef0ee52db65669426df,26,2880.0
22100527,stints_full_2021.parquet,797eac8eeb64f7f53885e4a02c6cc7f3d1af0128,27,2880.0
22100555,stints_full_2021.parquet,72dcf7b87c04447405fab5d6bf96ec45ad4b2750,36,2880.0
22100712,stints_full_2021.parquet,bd04890edf1d706d148e4e6408ee4eaf807dac8a,37,2880.0
22100773,stints_full_2021.parquet,6cb2a899325a966034f1f435dd7fc81a4997e28c,34,2880.0
22100862,stints_full_2021.parquet,83992d0291ba5f1ed6224d9f054226eacbd41d31,29,2880.0
22101166,stints_full_2021.parquet,93da6d439fb1647a39bf1ec9d3042092d62f7503,24,2880.0
22101181,stints_full_2021.parquet,6954a3e63931308ab8ba36d010b6c6728883f65b,27,2880.0
22200020,stints_full_2022.parquet,63e02aacba9de8f1ba440e901871aad42aaec57a,29,2880.0
22200117,stints_full_2022.parquet,2732ab22ab473783a9dbb1b28a090d3d87a9166e,32,3180.0
22200256,stints_full_2022.parquet,658515e740e11cfe29e6d32ddb03b51532bb21c0,31,2880.0
22200313,stints_full_2022.parquet,a9c37eb14d60b4fb35463c9300e7fa5a9c6bd802,25,2880.0
22200362,stints_full_2022.parquet,6763aeb6eb1a2111ea7647c44b87ec1a39fe17df,34,2880.0
22200439,stints_full_2022.parquet,29ba2c17b198a2e3e68b6f80155974836daf7799,35,2880.0
22200442,stints_full_2022.parquet,a6915f05a0eeffb3bc876f45b373d944cf13bcff,29,2880.0
22201021,stints_full_2022.parquet,37b66bcfe00f2d67424409c5fbbb2a03d8022fd3,23,2880.0
22201122,stints_full_2022.parquet,4d2c5ee9e0757a01e256661d207d2d031bf2ed27,35,2880.0
22201182,stints_full_2022.parquet,4f89c00a686c177341729160e16892fbc28575ca,28,2880.0
22201193,stints_full_2022.parquet,c28987139208767300a2a524f93ad44e3f2c034d,29,2880.0
22300072,stints_full_2023.parquet,57defe92897048c1456ca32195d2fc83f06f5d03,34,2880.0
22300087,stints_full_2023.parquet,7fbed66ce7416378d64c3742d4811b7ba4f4d2d1,35,2880.0
22300140,stints_full_2023.parquet,3d16c06c5dd28ca33550a248eb97ec720bdc0f5a,31,2880.0
22300191,stints_full_2023.parquet,91070726c875725fe76b69a581bcee416b4de1ad,26,2880.0
22300264,stints_full_2023.parquet,7fe619e9d5e759b209411be8798b2186ed230135,30,2880.0
22300291,stints_full_2023.parquet,f044737894b4359e962b756cd226b16f03b1f4df,25,2880.0
22300303,stints_full_2023.parquet,04c7c1bbc393a51d737a90d1e73cd94028e30793,33,2880.0
22300339,stints_full_2023.parquet,0b6ab0165437cd6d82d50f12b3f2f5bce5ddf353,31,2880.0
22300382,stints_full_2023.parquet,663292280430f8bbd0f7533c0f9d2a07627fa7ad,24,2880.0
22300397,stints_full_2023.parquet,879c9a317356a6e91b723f8e259bfcecd35be026,27,2880.0
22300493,stints_full_2023.parquet,dc7d5b848270b0c3b72f0d53a6b609e7d0c33559,32,2880.0
22300594,stints_full_2023.parquet,21441a75133e5cad4818d24d64e5f4224a1db62e,28,2880.0
22300627,stints_full_2023.parquet,ac3e84a9e843fd3476243b0563faadf63ae38894,35,2880.0
22300736,stints_full_2023.parquet,09b2163d93899d94a03e61fb299207663a59f844,29,2880.0
22300810,stints_full_2023.parquet,3636299d59c502fc82ab258ad75fe5d656dd3825,32,2880.0
22300863,stints_full_2023.parquet,9e8df261e11b881937ef03448b4cf3e1c1d624c5,32,2880.0
22300884,stints_full_2023.parquet,6538b7758905bff6a8e7d02fa6c950428795c145,27,2880.0
22301042,stints_full_2023.parquet,fa82d740e749dc16b7157fece153a30cd554ab07,27,2880.0
22301043,stints_full_2023.parquet,f5b892fe195fe9cc5ce9bf12b0bef1c5a3b6c3dd,30,2880.0
22301061,stints_full_2023.parquet,fb2eb5b5a33c426b6a0b5962597e0ed8f58c75e6,28,2880.0
