target,feature,coef_per_training_sd,raw_unit_coef,training_mean,training_sd,expected,basketball_sign_ok,loo_sign_agreement,loo_coef_sd,current_missing_rate,current_abs_contribution_p95,current_abs_contribution_max
orapm,tov_lb_75,-0.29619253934480355,-1.3209854685680742,0.42394048576150756,0.22422089144241023,negative,True,1.0,0.02090512460156685,0.0,0.7299077053586387,2.9162583276347114
orapm,tov_dead_75,-0.2415198886789232,-0.7183175934241298,0.8379511368090529,0.3362299502196907,negative,True,1.0,0.014479426419235861,0.0,0.6019150439996926,4.2957049111648296
orapm,oreb_opp_rate,0.5836420153296664,18.23515024730714,0.04161460030004272,0.03200642755416042,positive,True,1.0,0.026362014729015816,0.0,1.6490280205718084,3.040141145902742
orapm,dreb_opp_rate,-0.022384167290998444,-0.4023295822902546,0.13975559185498654,0.05563639433018307,near-zero,True,0.9,0.01582507238220276,0.0,0.0422955296139614,0.34610177339651055
orapm,off_boxout_75,-0.1220878715748086,-0.2325001658320808,0.27397612463174387,0.5251087505158359,near-zero,True,1.0,0.025612559773612483,0.029209621993127148,0.21474061750704804,2.7153345744489576
orapm,def_boxout_75,0.05260503539391342,0.02996246200150168,1.4577526839780002,1.7556980261260546,near-zero,True,1.0,0.027556988714109828,0.029209621993127148,0.04367785940127792,0.15841920727951464
orapm,stl_75,0.12852480762416352,0.31626344293633024,1.1466969293751355,0.4063852794078321,near-zero,True,1.0,0.03598030385173011,0.0,0.36381926401167114,1.3316101254130706
orapm,blk_75,-0.011448217275908059,-0.01865310661124231,0.722952375633641,0.6137431964822507,near-zero,True,0.7,0.01483140032629255,0.0,0.027747106963667896,0.0850346215471853
orapm,rim_dfg_diff,0.010547066467511844,0.18919211081386725,0.0042359593912157075,0.05574791899165583,near-zero,True,0.8,0.019234504135860614,0.041237113402061855,0.041104642446725556,0.11082193528163575
orapm,contested_2pt_75,-0.013264521668213992,-0.004356394678821621,4.905269450820847,3.044839287105632,near-zero,True,0.7,0.035140163266796615,0.029209621993127148,0.021458570708399526,0.08332847003063333
orapm,contested_3pt_75,0.14596190549801197,0.16899214558406153,3.0870147242423616,0.8637200562993405,near-zero,True,1.0,0.015991070923589694,0.029209621993127148,0.402009991707049,1.45329718998398
orapm,defl_75,0.025031116539287294,0.031205613602176805,2.2035166485091944,0.8021350535962928,near-zero,True,0.9,0.028741213990999305,0.029209621993127148,0.11987368736562001,0.737691978801866
orapm,pf_nonoff_75,-0.16317986782483782,-0.2137965588619293,2.6211363841720545,0.7632483361447367,near-zero,False,1.0,0.012737983985568397,0.0,0.5004887208269898,1.7302874771340289
orapm,charges_drawn_75,0.058473352686130256,0.5563005396382688,0.07292916272809992,0.10511108388309712,near-zero,True,1.0,0.006964625157982659,0.029209621993127148,0.09908208781433599,1.2521488697402068
orapm,height,0.049424480671636704,0.01523828914925192,78.38342199402929,3.2434402699375906,near-zero,True,1.0,0.019048594171923623,0.0,0.0972724301067126,0.17346387585297218
orapm,age,0.19734094385120302,0.04750210485033007,26.46785213431685,4.1543620955952605,near-zero,False,1.0,0.009738856385775013,0.0,0.3627886291510868,0.6792237871511043
orapm,wing_rel,-0.1332953996418428,-0.07891419037384662,4.9546682012898975,1.6891182563031018,near-zero,True,1.0,0.01624400251445433,0.6237113402061856,0.2600484409083994,0.5290934628300668
drapm,rim_ast_m_75,-0.024673262762384848,-0.02512680680767397,1.435185232177697,0.9819497937497331,near-zero,True,1.0,0.011966333457570016,0.0,0.04482944109516561,0.13525751526289412
drapm,rim_unast_m_75,-0.10643833400197511,-0.14477756346972295,1.161763331565414,0.7351852832102286,near-zero,True,1.0,0.018226772069687452,0.0,0.1681972644725085,0.8189224864574207
drapm,rim_miss_75,-0.09675111687440086,-0.13227632859411048,1.4891298113071993,0.7314318283755922,near-zero,True,1.0,0.010057346406066479,0.0,0.19697662423975684,0.5966813473249061
drapm,flt_ast_m_75,0.08562511789379595,0.2757879120764701,0.3411808753586525,0.3104745137272512,near-zero,True,1.0,0.012150623083123714,0.0,0.22510747675172207,1.3833416820112185
drapm,flt_unast_m_75,-0.08490683426902385,-0.23031994008627005,0.4221458222025193,0.36864734437331226,near-zero,True,1.0,0.010602046968013933,0.0,0.16215151974493142,1.0543710999539968
drapm,flt_miss_75,-0.05955007013250255,-0.1029017504121089,1.0557114124297342,0.5787080384348353,near-zero,True,1.0,0.01243390414102869,0.0,0.11285212314529287,0.42980483942220804
drapm,mid_ast_m_75,-0.02719278600854952,-0.06112025492745103,0.4518560262976414,0.4449062923711135,near-zero,True,1.0,0.009212091764699568,0.0,0.02761755551781686,0.15574320926453625
drapm,mid_unast_m_75,-0.015398305886954688,-0.024242374371343266,0.5767038354555856,0.6351814245207315,near-zero,True,0.7,0.019689840115073423,0.0,0.019950517214367965,0.07131750893476253
drapm,mid_miss_75,0.06577563412955935,0.061363049728721655,1.4418642890762567,1.0719094702813041,near-zero,True,1.0,0.008010395338024898,0.0,0.08847719007265424,0.8319685558581705
drapm,tp_ast_m_75,0.010305012826973218,0.011634433527848948,1.4680836526511551,0.885733955358158,near-zero,True,0.8,0.009532192403523087,0.0,0.02159258900834076,0.052726279497002135
drapm,tp_unast_m_75,-0.09310385440074874,-0.21009107671365868,0.3147938577036862,0.4431594899560804,near-zero,True,1.0,0.01344627371621453,0.0,0.13216123295254903,0.6552073721571089
drapm,tp_miss_75,-0.048713575619163826,-0.02938308610086418,3.116192582978722,1.6578781225342807,near-zero,True,1.0,0.020698505924872056,0.0,0.09835654732059208,0.33223115609761833
drapm,ftm_75,0.01631006371917907,0.010180769907500588,2.6655697406168004,1.6020461976223215,near-zero,True,0.8,0.016376474392981982,0.0,0.02956808937433563,0.15545234287855791
drapm,ft_miss_75,0.09567221951772668,0.17897252347883336,0.7546861996756208,0.5345637288789841,near-zero,True,1.0,0.008090363127295193,0.0,0.18174635333642902,1.0321440160539688
drapm,ast_rim_75,0.13208275743222586,0.13248960806304608,1.4565360432495238,0.9969291883584817,near-zero,True,1.0,0.013707803343272951,0.0,0.2333295957196175,1.1319201911306311
drapm,ast_mid2_75,0.09170811678211956,0.17292607331379722,0.7866603264291029,0.5303313434735956,near-zero,True,1.0,0.009851206173668789,0.0,0.18846756832433956,1.0430073276765734
drapm,ast_tp_75,0.1691904822737546,0.19661455841381517,1.4621027016626464,0.8605185884437864,near-zero,False,1.0,0.014515523686405124,0.0,0.3682533391868037,0.7473427882928221
drapm,tov_bp_75,-0.17435856295843202,-0.40379012948908466,0.7640431200766312,0.43180491603162213,near-zero,False,1.0,0.017740836572210254,0.0,0.39555010059804757,1.8546483375862517
drapm,tov_lb_75,-0.03602550434352919,-0.16066970437847056,0.42394048576150756,0.22422089144241023,near-zero,True,1.0,0.01290504100446021,0.0,0.08877770273329605,0.35470061900092437
drapm,tov_dead_75,0.05456858861879511,0.16229544269670299,0.8379511368090529,0.3362299502196907,near-zero,True,1.0,0.009674237764480237,0.0,0.13599565070663078,0.9705641858617986
