game_id,player_id,assisted_2pm,unassisted_2pm,assisted_3pm,unassisted_3pm,assisted_fgm,unassisted_fgm
20000018,978,2,2,3,0,5,2
20000018,980,5,0,0,0,5,0
20000018,1444,3,0,0,0,3,0
20000018,1513,2,1,0,0,2,1
20000018,1517,0,0,0,1,0,1
20000018,1714,2,0,0,0,2,0
20000018,1723,3,0,0,0,3,0
20000018,1889,0,4,0,0,0,4
20000018,2036,2,0,0,0,2,0
20000018,2045,0,0,1,0,1,0
20000019,128,1,0,0,0,1,0
20000019,178,1,0,0,0,1,0
20000019,216,1,1,0,0,1,1
20000019,252,8,0,0,0,8,0
20000019,270,1,0,0,0,1,0
20000019,296,2,0,0,0,2,0
20000019,304,0,7,2,0,2,7
20000019,317,1,2,0,0,1,2
20000019,375,1,2,1,0,2,2
20000019,406,9,5,0,0,9,5
20000019,923,1,0,0,0,1,0
20000019,935,4,1,1,0,5,1
20000019,977,0,8,1,0,1,8
20000019,1731,0,1,1,0,1,1
20000019,1900,3,0,0,1,3,1
20000020,45,1,1,0,0,1,1
20000020,56,2,10,1,0,3,10
20000020,89,1,5,2,2,3,7
20000020,121,5,0,0,0,5,0
20000020,123,1,2,0,0,1,2
20000020,426,0,1,0,0,0,1
20000020,452,4,0,0,0,4,0
20000020,686,4,1,0,0,4,1
20000020,702,1,2,0,1,1,3
20000020,1023,1,0,0,0,1,0
20000020,1110,2,0,0,0,2,0
20000020,1505,1,0,0,0,1,0
20000020,1711,0,2,0,0,0,2
20000020,1721,4,1,0,0,4,1
20000020,1739,2,2,0,0,2,2
20000020,1740,4,2,1,0,5,2
20000020,1741,2,2,0,0,2,2
20000020,1742,1,1,3,0,4,1
20000020,1899,1,1,2,0,3,1
20000020,2106,1,0,0,0,1,0
20000021,84,1,3,0,1,1,4
20000021,164,0,2,0,0,0,2
20000021,275,5,0,1,0,6,0
20000021,292,1,0,0,0,1,0
20000021,369,0,2,2,0,2,2
20000021,673,5,1,0,0,5,1
20000021,703,1,0,0,0,1,0
20000021,754,1,2,2,0,3,2
20000021,779,3,1,3,0,6,1
20000021,913,1,3,0,0,1,3
