season,season_type,player_id,player_name,season_games,layup_assists_created,dunk_assists_created,other_rim_assists_created,rim_assists_strict,rim_assists_all,layup_assists_created_per_game,dunk_assists_created_per_game,other_rim_assists_created_per_game,rim_assists_strict_per_game,rim_assists_all_per_game
1997-98,Playoffs,422,Avery Johnson,17.0,8,8,0,16,16,0.47058823529411764,0.47058823529411764,0.0,0.9411764705882353,0.9411764705882353
1997-98,Playoffs,23,Dennis Rodman,,11,5,0,16,16,,,,,
1997-98,Playoffs,166,Ron Harper,,14,2,0,16,16,,,,,
1997-98,Playoffs,224,Eddie Jones,,8,7,0,15,15,,,,,
1997-98,Playoffs,765,Hersey Hawkins,,11,4,0,15,15,,,,,
1997-98,Playoffs,965,Derek Fisher,8.0,9,5,0,14,14,1.125,0.625,0.0,1.75,1.75
1997-98,Playoffs,96,Detlef Schrempf,,12,2,0,14,14,,,,,
1997-98,Playoffs,896,Tim Hardaway,5.0,8,6,0,14,14,1.6,1.2,0.0,2.8,2.8
1997-98,Playoffs,26,Luc Longley,3.0,10,3,0,13,13,3.3333333333333335,1.0,0.0,4.333333333333333,4.333333333333333
1997-98,Playoffs,302,Mookie Blaylock,9.0,5,8,0,13,13,0.5555555555555556,0.8888888888888888,0.0,1.4444444444444444,1.4444444444444444
1997-98,Playoffs,428,Sherman Douglas,,6,6,0,12,12,,,,,
1997-98,Playoffs,1510,Brevin Knight,,4,7,0,11,11,,,,,
1997-98,Playoffs,467,Jason Kidd,3.0,7,4,0,11,11,2.3333333333333335,1.3333333333333333,0.0,3.6666666666666665,3.6666666666666665
1997-98,Playoffs,397,Reggie Miller,13.0,8,3,0,11,11,0.6153846153846154,0.23076923076923078,0.0,0.8461538461538461,0.8461538461538461
1997-98,Playoffs,935,Bryon Russell,11.0,8,2,0,10,10,0.7272727272727273,0.18181818181818182,0.0,0.9090909090909091,0.9090909090909091
1997-98,Playoffs,164,Chris Childs,20.0,8,2,0,10,10,0.4,0.1,0.0,0.5,0.5
