player_name,pts,ast,stl,blk,reb,fga,fg3a,fta,tov,min_seconds,fgm,fg3m,pip,player_id
Toumani Camara,829,163,69,27,341,685,454,114,120,129279.99999999999,295,162,250,1641739
Donovan Clingan,700,125,30,88,680,510,187,154,70,96728.30000000002,268,63,400,1642270
Shaedon Sharpe,1025,126,68,6,212,847,297,194,144,86344.7,386,101,470,1631101
Jrue Holiday,584,224,42,3,160,468,226,76,102,60772.600000000006,218,86,232,201950
Jerami Grant,903,110,33,29,170,628,289,289,97,85314.70000000001,279,109,312,203924
Yang Hansen,80,22,3,9,57,91,40,26,30,16297.699999999999,27,5,42,1642905
Blake Wesley,116,51,16,3,29,96,30,33,25,17297.699999999997,44,10,64,1631104
Kris Murray,242,47,43,17,153,208,89,45,33,59008.0,94,22,144,1631200
Matisse Thybulle,60,10,23,7,21,41,26,10,7,8798.0,19,12,14,1629680
Jaden McDaniels,920,174,64,63,268,665,205,155,111,117423.80000000002,349,90,440,1630183
Julius Randle,1353,335,67,16,437,973,289,395,165,126394.70000000001,470,90,652,203944
Rudy Gobert,658,106,46,99,690,378,4,249,80,113466.7,266,0,530,203497
Anthony Edwards,1565,195,75,43,275,1100,456,369,150,113324.60000000002,545,185,540,1630162
Donte DiVincenzo,813,267,89,25,278,649,497,90,93,117558.70000000001,274,196,134,1628978
Naz Reid,859,149,63,60,394,697,378,93,100,97200.20000000001,325,143,344,1629675
Terrence Shannon Jr.,108,14,8,1,28,88,40,31,17,18815.4,34,15,38,1630545
Mike Conley,195,130,26,12,80,177,134,46,27,49862.4,56,42,24,201144
Jaylen Clark,206,31,39,8,101,174,72,59,19,43362.3,74,21,102,1641740
Bones Hyland,381,135,30,11,93,300,186,49,46,47564.4,137,72,106,1630538
Aaron Nesmith,446,72,21,20,160,391,217,90,48,62040.5,148,77,114,1630174
Pascal Siakam,1296,208,59,23,361,1000,261,334,118,108723.1,485,96,658,1627783
Isaiah Jackson,265,35,28,33,221,176,1,82,44,41041.799999999996,105,0,210,1630543
Bennedict Mathurin,678,89,29,9,211,498,191,217,85,70657.9,213,64,216,1631097
Andrew Nembhard,841,359,44,7,139,665,261,197,123,92628.5,293,94,270,1629614
Obi Toppin,51,13,6,0,33,48,23,13,7,7344.4,18,3,26,1630167
Taelon Peter,97,30,14,4,36,94,83,10,16,17612.8,33,26,14,1643007
Ben Sheppard,361,96,32,4,161,315,194,45,32,68120.0,130,67,110,1641767
Jay Huff,581,85,34,121,243,449,281,77,53,78162.2,214,89,246,1630643
Jarace Walker,689,145,50,22,309,583,283,149,111,92239.70000000003,237,102,232,1641716
Tony Bradley,151,20,6,7,107,106,2,43,17,24976.199999999997,59,1,108,1628396
Johnny Furphy,180,41,20,7,153,149,71,35,29,38583.200000000004,70,23,94,1642277
Ousmane Dieng,198,45,10,12,79,176,99,16,20,31374.800000000003,74,37,46,1631172
Branden Carlson,170,21,6,18,92,134,61,17,13,22585.2,70,21,98,1642382
Cameron Johnson,426,90,24,13,143,324,168,81,35,69721.4,145,68,128,1629661
Aaron Gordon,409,61,16,4,145,280,108,111,24,39808.100000000006,140,42,168,203932
Nikola Jokić,1384,494,65,37,600,850,230,382,181,99518.6,488,90,692,203999
Christian Braun,302,83,16,9,133,231,82,70,34,53144.50000000001,113,23,176,1631128
Jamal Murray,1503,425,56,22,255,1078,441,307,140,123683.0,522,190,472,1627750
Tim Hardaway Jr.,866,82,32,9,165,618,427,161,33,103138.49999999999,281,172,130,203501
Bruce Brown,486,140,71,15,255,404,107,93,72,96803.2,188,39,286,1628971
Peyton Watson,731,96,50,58,240,532,180,176,86,90114.29999999999,264,75,328,1631212
Jonas Valančiūnas,448,62,14,30,262,310,19,109,62,43334.90000000001,178,6,292,202685
Spencer Jones,296,42,43,23,166,216,126,47,27,71006.7,108,51,110,1642461
Josh Hart,619,268,58,17,390,480,200,101,102,93757.39999999997,236,76,292,1628404
Hugo González,245,35,36,17,206,211,100,24,32,54508.600000000006,100,34,130,1642864
Baylor Scheierman,265,71,32,5,178,211,151,18,31,56717.899999999994,96,57,60,1631248
Jordan Walsh,299,42,41,24,234,217,95,46,32,59051.100000000006,113,38,148,1641775
Amari Williams,22,7,2,9,30,16,0,12,7,7072.7,7,0,14,1642873
