player_id,player_name,games,minutes_on_total,minutes_on_avg,on_diff_total,off_diff_total,on_off_diff_total,on_diff_avg,off_diff_avg,on_off_diff_avg,on_diff_adj_total,off_diff_adj_total,on_off_diff_adj_total,on_diff_adj_avg,off_diff_adj_avg,on_off_diff_adj_avg,first_game_date,last_game_date,latest_team_id
1630578,Sengun,6,232.2,38.7,-3.0,-12.0,9.0,-0.5,-2.0,1.5,40.016,-17.746,57.761,6.669,-2.958,9.627,2026-04-18,2026-05-01,1610612745
1642876,Thiero,6,33.55,5.592,-3.0,-60.0,57.0,-0.5,-10.0,9.5,-1.052,-58.343,57.291,-0.175,-9.724,9.548,2026-04-26,2026-05-11,1610612747
1628467,Kleber,3,14.42,4.807,1.0,-48.0,49.0,0.333,-16.0,16.333,-3.255,-31.666,28.413,-1.085,-10.555,9.471,2026-04-26,2026-05-11,1610612747
1631207,Terry,7,39.47,5.639,-7.0,-111.0,104.0,-1.0,-15.857,14.857,6.473,-57.679,64.152,0.925,-8.24,9.165,2026-04-19,2026-05-10,1610612755
1630192,Nnaji,2,19.06,9.53,-3.0,-26.0,23.0,-1.5,-13.0,11.5,-9.632,-27.353,17.721,-4.816,-13.676,8.86,2026-04-23,2026-04-30,1610612743
1642355,James,8,42.43,5.304,1.0,-39.0,40.0,0.125,-4.875,5.0,-1.099,-69.551,68.452,-0.137,-8.694,8.556,2026-04-18,2026-05-09,1610612747
1631128,Braun,6,186.88,31.147,-15.0,-12.0,-3.0,-2.5,-2.0,-0.5,21.254,-29.769,51.024,3.542,-4.962,8.504,2026-04-18,2026-04-30,1610612743
1630570,Watford,7,39.86,5.694,-5.0,-113.0,108.0,-0.714,-16.143,15.429,4.043,-55.249,59.292,0.578,-7.893,8.47,2026-04-19,2026-05-10,1610612755
1629661,Johnson,6,186.36,31.06,-11.0,-16.0,5.0,-1.833,-2.667,0.833,19.925,-28.443,48.368,3.321,-4.74,8.061,2026-04-18,2026-04-30,1610612743
1631321,Cissoko,4,26.14,6.535,8.0,-73.0,81.0,2.0,-18.25,20.25,12.566,-18.962,31.527,3.142,-4.74,7.882,2026-04-19,2026-04-28,1610612757
