player_name,Team,G,MP,VORP,BPM,WS,PER,TS%
Keldon Johnson,SAS,80.0,1866.0,1.4,0.9,6.3,17.2,0.613
Ayo Dosunmu,2TM,68.0,1855.0,1.4,1.1,4.8,16.5,0.629
Ayo Dosunmu,CHI,45.0,1187.0,0.8,0.8,3.0,17.0,0.636
Ayo Dosunmu,MIN,23.0,668.0,0.6,1.6,1.8,15.5,0.616
Tristan Da Silva,ORL,75.0,1854.0,0.7,-0.6,3.2,12.1,0.578
Russell Westbrook,SAC,64.0,1853.0,0.7,-0.5,0.3,15.1,0.528
Ausar Thompson,DET,71.0,1849.0,2.3,3.0,5.5,16.1,0.543
Moussa Diabaté,CHO,71.0,1848.0,1.7,1.6,7.2,17.3,0.652
Draymond Green,GSW,67.0,1845.0,0.3,-1.3,1.7,10.3,0.537
Zion Williamson,NOP,62.0,1841.0,2.3,2.9,6.1,22.7,0.644
Victor Wembanyama,SAS,63.0,1839.0,5.8,10.5,9.7,29.5,0.624
John Collins,LAC,67.0,1837.0,0.8,-0.3,4.6,16.4,0.645
Pelle Larsson,MIA,69.0,1823.0,0.4,-1.2,3.9,12.9,0.603
Jaylen Wells,MEM,69.0,1821.0,-0.5,-3.1,1.7,11.5,0.559
Luguentz Dort,OKC,67.0,1808.0,0.1,-1.8,3.1,8.3,0.527
Sion James,CHO,80.0,1805.0,0.1,-1.9,3.1,8.4,0.535
Jamal Shead,TOR,80.0,1805.0,-0.1,-2.2,2.8,10.8,0.493
Nique Clifford,SAC,73.0,1805.0,-1.4,-5.0,-0.7,8.7,0.496
Kyle Filipowski,UTA,77.0,1801.0,0.4,-1.2,3.0,16.1,0.586
Nikola Vučević,2TM,63.0,1799.0,1.5,1.3,4.3,17.6,0.571
Nikola Vučević,CHI,48.0,1480.0,1.4,1.8,3.6,18.2,0.585
Nikola Vučević,BOS,15.0,319.0,0.1,-1.0,0.7,14.6,0.505
Andrew Nembhard,IND,57.0,1786.0,0.5,-0.8,2.9,15.7,0.564
Keyonte George,UTA,54.0,1786.0,1.3,0.9,3.2,18.6,0.609
Kyle Kuzma,MIL,68.0,1785.0,-0.1,-2.3,1.9,14.2,0.579
Noah Clowney,BRK,66.0,1780.0,-0.6,-3.3,1.2,11.2,0.554
Oso Ighodaro,PHO,80.0,1774.0,0.8,-0.1,4.5,13.6,0.637
Austin Reaves,LAL,51.0,1762.0,2.1,2.6,5.5,20.3,0.641
Brice Sensabaugh,UTA,74.0,1749.0,-0.3,-2.7,1.0,14.4,0.59
P.J. Washington,DAL,56.0,1736.0,0.1,-1.7,1.7,13.1,0.537
Josh Giddey,CHI,54.0,1731.0,2.0,2.7,3.3,18.1,0.562
Jaylon Tyson,CLE,64.0,1727.0,0.9,0.2,4.0,14.8,0.614
Marcus Smart,LAL,60.0,1725.0,-0.2,-2.4,1.9,9.8,0.547
Cam Spencer,MEM,72.0,1714.0,1.8,2.2,5.4,17.2,0.649
Sandro Mamukelashvili,TOR,78.0,1708.0,2.0,2.7,6.0,18.0,0.634
Tre Jones,CHI,63.0,1707.0,1.5,1.4,5.7,18.7,0.64
Tobias Harris,DET,61.0,1699.0,1.4,1.2,5.0,14.7,0.567
RJ Barrett,TOR,56.0,1697.0,1.0,0.3,3.9,16.9,0.583
Isaac Okoro,CHI,63.0,1695.0,-0.8,-3.8,2.2,9.8,0.574
Jerami Grant,POR,57.0,1695.0,0.9,0.0,4.0,15.4,0.608
Norman Powell,MIA,57.0,1694.0,1.5,1.5,3.8,17.4,0.609
Michael Porter Jr.,BRK,52.0,1689.0,2.1,3.0,3.0,19.9,0.595
Precious Achiuwa,SAC,71.0,1685.0,0.2,-1.6,2.9,16.2,0.565
Dennis Schröder,2TM,69.0,1681.0,-0.1,-2.3,1.5,12.9,0.527
Dennis Schröder,SAC,40.0,1056.0,0.0,-1.9,0.6,13.7,0.531
Dennis Schröder,CLE,29.0,625.0,-0.1,-2.9,0.8,11.6,0.52
Dillon Brooks,PHO,55.0,1680.0,-0.1,-2.3,2.1,14.2,0.542
Jay Huff,IND,80.0,1671.0,1.0,0.4,3.1,15.2,0.599
Kel'el Ware,MIA,75.0,1653.0,1.7,2.0,5.9,20.0,0.61
Dominick Barlow,PHI,69.0,1652.0,0.4,-1.1,3.8,13.3,0.598
Cameron Johnson,DEN,54.0,1647.0,0.5,-0.7,3.7,12.8,0.629
Luke Kennard,2TM,76.0,1641.0,0.9,0.1,4.4,13.4,0.689
Luke Kennard,ATL,46.0,944.0,0.6,0.6,2.7,13.5,0.713
Luke Kennard,LAL,30.0,697.0,0.2,-0.6,1.6,13.1,0.659
Bobby Portis,MIL,67.0,1619.0,0.8,-0.1,2.8,17.1,0.587
Cedric Coward,MEM,62.0,1598.0,0.7,-0.2,2.6,15.3,0.585
Peyton Watson,DEN,54.0,1598.0,0.3,-1.3,2.5,14.3,0.594
Herbert Jones,NOP,56.0,1588.0,-0.5,-3.2,0.8,9.1,0.491
Bennedict Mathurin,2TM,52.0,1583.0,-0.2,-2.6,2.0,14.6,0.578
Bennedict Mathurin,IND,28.0,891.0,-0.2,-2.8,0.7,12.7,0.589
Bennedict Mathurin,LAC,24.0,692.0,0.0,-2.3,1.3,17.2,0.567
Brook Lopez,LAC,73.0,1576.0,0.4,-0.9,2.2,12.2,0.549
Jordan Goodwin,PHO,70.0,1572.0,1.5,1.7,3.8,14.7,0.525
Will Riley,WAS,72.0,1570.0,-0.8,-4.1,0.7,12.5,0.555
Collin Sexton,2TM,66.0,1559.0,1.1,0.9,4.0,17.6,0.618
Collin Sexton,CHO,42.0,938.0,0.8,1.2,2.8,17.7,0.619
Collin Sexton,CHI,24.0,621.0,0.4,0.4,1.2,17.4,0.618
Cody Williams,UTA,65.0,1558.0,-1.4,-5.5,0.2,9.8,0.531
Moses Moody,GSW,60.0,1540.0,0.7,-0.1,3.1,13.5,0.6
Terance Mann,BRK,63.0,1529.0,-0.6,-3.4,1.9,10.2,0.564
Jarrett Allen,CLE,56.0,1519.0,1.8,2.6,6.4,22.1,0.669
