game_id,poss_index,offense_team,defense_team,off_p1,off_p2,off_p3,off_p4,off_p5,def_p1,def_p2,def_p3,def_p4,def_p5,points,points_adj,ended_by,period,date
22500947,70,1610612739,1610612753,201935,203471,1628378,1629731,1630596,1628976,1630217,1630591,1631094,1641724,0,0.0,defensive_rebound,2,2026-03-11
22500947,71,1610612753,1610612739,1628976,1630217,1630591,1631094,1641724,201935,203471,1628378,1629731,1630596,2,2.0,made_shot,2,2026-03-11
22500947,72,1610612739,1610612753,201935,203471,1628378,1629731,1630596,1628976,1630217,1630591,1631094,1641724,0,0.0,turnover,2,2026-03-11
22500947,73,1610612753,1610612739,1628976,1630217,1630591,1631094,1641724,201935,203471,1628378,1629731,1630596,0,0.0,defensive_rebound,2,2026-03-11
22500947,74,1610612739,1610612753,201935,203471,1628378,1629731,1630596,1628976,1630217,1630591,1631094,1641724,2,2.0,made_shot,2,2026-03-11
22500947,75,1610612753,1610612739,1628976,1630217,1630591,1631094,1641724,201935,203471,1628378,1629731,1630596,3,1.143,made_shot,2,2026-03-11
22500947,76,1610612739,1610612753,201935,1629731,1630241,1631165,1642281,1628976,1630591,1631094,1641724,1641783,0,0.0,turnover,2,2026-03-11
22500947,77,1610612753,1610612739,1628976,1630591,1631094,1641724,1641783,201935,1629731,1630241,1631165,1642281,2,2.0,made_shot,2,2026-03-11
22500947,78,1610612739,1610612753,201935,1629731,1630241,1631165,1642281,1628976,1630591,1631094,1641724,1641783,0,0.0,defensive_rebound,2,2026-03-11
22500947,79,1610612753,1610612739,1628976,1630591,1631094,1641724,1641783,201935,1629731,1630241,1631165,1642281,0,0.0,defensive_rebound,2,2026-03-11
22500947,80,1610612739,1610612753,201935,1629731,1630241,1631165,1642281,1628975,1628976,1631094,1641724,1641783,2,2.0,free_throw,2,2026-03-11
22500947,82,1610612739,1610612753,201935,1629731,1630241,1631165,1642281,1628975,1628976,1630217,1631094,1641783,0,0.0,defensive_rebound,2,2026-03-11
22500947,84,1610612739,1610612753,201935,1629731,1630241,1631165,1642281,1628975,1628976,1630217,1631094,1641783,2,2.0,free_throw,2,2026-03-11
22500947,85,1610612753,1610612739,1628975,1628976,1630217,1631094,1641783,201935,1629731,1630241,1631165,1642281,0,0.0,defensive_rebound,2,2026-03-11
22500947,86,1610612739,1610612753,201935,1629731,1630241,1631165,1642281,1628975,1628976,1630217,1631094,1641783,2,2.0,made_shot,2,2026-03-11
22500947,87,1610612753,1610612739,1628975,1628976,1630217,1631094,1641783,201935,1629731,1630241,1631165,1642281,2,2.0,free_throw,2,2026-03-11
22500947,88,1610612739,1610612753,201935,1629731,1630241,1631165,1642281,1628975,1628976,1631094,1641724,1641783,1,1.0,free_throw,2,2026-03-11
22500947,89,1610612753,1610612739,1628975,1628976,1631094,1641724,1641783,201935,1629731,1630241,1631165,1642281,2,2.0,made_shot,2,2026-03-11
22500947,90,1610612739,1610612753,201935,1629731,1630241,1631165,1642281,1628975,1628976,1631094,1641724,1641783,0,0.0,defensive_rebound,2,2026-03-11
